500 5000
463 336 85
139 302 36
220 346 58
485 341 96
126 232 12
303 110 11
420 232 23
144 315 57
298 274 13
206 445 85
87 395 24
193 498 68
137 12 68
284 293 63
110 418 55
47 78 31
244 437 34
101 368 77
211 113 93
367 256 56
6 476 22
386 242 64
99 80 42
230 442 32
318 229 43
24 330 83
159 487 30
436 306 85
187 66 14
69 303 65
62 290 67
205 176 37
328 135 87
40 43 79
78 149 96
386 93 29
139 53 85
471 37 50
499 410 94
210 227 79
98 453 56
323 403 100
318 200 55
186 175 78
40 52 18
283 157 29
300 159 71
220 255 22
188 304 49
359 315 16
38 481 97
257 68 29
63 203 76
341 201 18
305 149 90
60 449 84
120 436 33
49 227 49
342 313 58
337 230 39
273 268 44
255 216 18
138 394 28
395 82 99
321 216 43
221 491 3
446 292 8
99 180 73
367 176 95
48 131 15
489 255 90
108 257 84
66 298 21
175 441 93
23 282 25
407 10 38
159 476 49
130 439 39
398 13 15
186 207 22
292 125 3
393 185 65
366 281 1
118 390 27
256 60 56
249 422 92
354 279 48
80 124 49
58 51 91
91 181 31
48 208 15
327 428 11
260 228 63
115 85 71
421 49 89
372 76 86
429 100 31
368 105 80
470 170 96
120 288 33
325 307 22
332 145 14
52 115 87
498 478 30
69 410 38
409 95 15
463 54 41
433 255 12
207 41 36
483 433 11
286 12 97
218 25 44
289 240 70
416 376 43
273 277 62
332 264 97
85 95 47
243 272 14
398 18 2
497 431 41
424 410 56
9 496 82
394 216 63
173 211 64
62 132 29
20 472 71
33 142 52
355 165 56
231 241 46
370 140 17
355 200 86
450 419 11
23 120 90
210 163 85
55 117 5
319 287 98
353 182 3
385 288 51
24 295 30
244 163 1
351 461 93
131 150 7
187 159 67
185 94 26
273 220 58
490 450 19
1 40 62
286 330 38
7 181 73
15 145 2
9 265 8
235 264 92
375 356 24
439 183 74
410 215 96
130 36 45
205 142 62
249 348 4
311 208 89
177 441 96
402 436 74
254 402 66
304 196 82
481 201 26
403 474 48
232 446 13
315 317 89
371 485 95
173 353 45
52 100 98
371 286 35
94 221 47
496 285 34
367 67 43
455 371 91
150 68 14
458 77 16
378 164 99
19 335 17
424 380 8
79 209 41
112 171 4
380 447 72
29 212 59
355 390 89
220 106 36
185 321 13
306 365 32
44 137 85
283 437 26
255 268 87
95 124 94
207 189 25
16 286 15
148 206 20
214 326 96
494 437 22
10 100 21
228 172 56
24 251 36
129 170 64
142 298 26
156 80 68
387 458 20
9 294 67
336 247 35
186 10 83
422 46 84
377 320 92
467 381 87
128 118 60
206 320 83
375 439 90
48 321 69
117 82 38
313 343 34
18 250 11
229 478 90
373 87 80
395 262 93
446 456 64
232 337 65
142 158 2
205 3 36
473 240 41
311 260 66
240 36 89
416 414 29
500 331 29
278 248 53
66 34 7
156 104 1
195 342 68
382 355 36
31 72 100
412 468 57
152 409 21
329 221 39
156 336 71
212 51 38
106 447 20
94 149 22
454 111 59
47 280 55
91 10 22
264 6 66
62 358 8
158 251 90
241 221 66
349 351 54
328 324 27
276 85 68
115 475 56
309 454 54
458 363 98
81 462 68
114 137 43
390 96 88
132 112 98
358 371 58
365 3 97
51 122 85
176 279 73
255 68 38
2 230 5
173 73 2
208 130 57
380 171 83
110 23 12
284 222 39
157 305 68
463 60 10
259 100 64
455 73 89
381 444 81
221 476 10
480 271 79
150 173 76
468 42 78
276 191 3
124 284 68
61 441 44
291 233 76
