500 5000
40 451 46
109 282 45
22 412 34
343 17 86
258 417 54
343 314 33
55 296 53
40 377 62
208 84 30
35 393 28
362 97 77
95 108 91
147 122 54
471 13 79
310 29 47
319 182 24
472 436 57
381 100 43
330 282 38
312 241 73
106 184 98
132 202 61
494 147 23
86 34 60
486 137 66
432 83 10
99 326 98
25 217 19
189 168 85
23 220 37
153 306 97
3 176 91
117 211 99
107 27 53
370 410 78
31 455 78
379 328 71
88 422 73
498 294 56
59 466 1
430 162 83
148 109 48
35 372 36
30 498 19
334 332 63
223 292 30
481 81 57
92 21 86
345 356 59
250 326 21
168 445 97
2 107 43
249 11 3
385 431 32
392 352 15
483 120 15
53 269 30
310 312 99
118 220 54
164 400 12
482 404 9
281 428 71
157 15 88
18 117 49
54 128 41
102 421 98
348 8 36
441 425 38
387 362 20
213 24 61
215 315 51
207 88 18
268 362 46
108 135 87
40 236 51
440 234 36
459 369 47
252 146 76
258 172 64
230 161 100
411 126 36
59 122 7
322 353 24
205 59 30
71 440 100
146 374 86
230 3 28
313 196 19
204 236 82
39 231 16
107 196 49
103 421 10
343 135 49
210 124 75
79 390 93
464 203 82
384 3 4
218 288 3
318 236 33
231 259 62
456 279 56
310 98 32
338 141 2
129 415 91
426 270 73
349 2 42
13 255 59
402 92 85
115 92 51
336 41 95
369 56 97
361 232 9
211 127 87
281 122 57
129 171 83
41 71 82
463 376 84
220 343 78
397 285 88
421 335 57
302 378 34
426 83 40
469 444 42
222 348 80
92 191 6
413 233 66
402 243 1
194 190 10
46 470 41
371 38 40
279 371 50
108 287 89
62 136 88
80 330 38
426 95 41
321 388 16
25 358 78
70 9 71
124 485 67
490 164 91
468 178 77
275 159 69
331 242 82
92 466 4
458 174 72
171 237 84
382 180 30
325 122 93
459 256 11
85 293 84
178 107 31
465 233 86
401 344 13
426 284 78
377 103 42
333 315 2
62 336 25
403 17 4
123 479 65
59 491 50
330 106 9
241 468 26
236 359 96
282 199 72
397 79 39
439 349 57
283 495 99
87 49 15
333 280 4
54 303 14
354 375 45
316 321 98
432 360 60
124 24 14
178 11 12
469 278 30
8 153 7
96 212 4
23 276 54
359 162 74
160 438 57
138 322 27
222 168 39
481 477 75
31 207 87
315 47 64
434 452 72
193 361 66
250 296 34
454 346 46
23 146 66
405 447 47
36 348 53
352 219 47
384 274 1
74 179 94
374 392 54
429 267 69
338 22 18
227 232 32
235 466 60
34 366 12
324 71 90
30 425 71
135 126 25
373 242 47
213 63 21
284 203 50
247 483 56
485 64 46
288 191 44
295 292 15
295 476 18
300 351 93
188 350 85
242 14 23
145 363 37
210 34 12
23 419 55
233 26 17
24 303 72
458 423 14
429 482 61
219 312 23
249 318 81
148 346 13
363 232 70
195 310 44
1 384 51
205 208 70
479 488 86
175 459 72
303 28 15
329 70 27
435 62 14
191 327 87
237 263 34
134 369 31
310 229 39
108 457 79
346 471 66
300 323 46
410 138 97
57 460 73
109 490 21
86 75 84
242 308 58
119 158 95
458 36 50
493 28 2
459 369 34
375 345 85
27 336 49
136 488 89
465 278 91
49 420 4
73 245 97
278 403 58
378 2 96
189 11 98
71 389 5
214 237 42
458 42 46
255 253 44
181 178 18
488 390 34
244 31 3
174 270 57
439 431 22
209 274 52
53 222 30
285 60 3
336 41 85
313 500 37
375 331 71
403 448 94
460 327 80
364 452 54
31 257 51
474 160 75
414 88 81
195 96 24
478 377 21
63 134 17
50 295 67
377 141 14
382 213 63
61 121 42
410 138 78
498 364 38
42 81 56
67 219 56
416 439 53
137 52 17
225 216 44
81 104 86
353 349 91
199 186 78
466 281 11
384 65 12
189 278 23
255 126 38
172 277 86
331 26 51
6 318 54
199 10 41
344 353 14
344 15 50
328 487 12
384 429 100
44 382 30
287 500 33
111 285 95
25 353 84
173 308 12
11 296 27
183 127 59
125 136 21
239 224 97
294 489 60
299 307 100
199 143 83
129 243 95
327 261 62
354 240 82
487 325 84
420 317 53
279 116 57
166 257 33
349 143 67
118 284 81
475 143 73
454 455 40
472 259 42
444 129 46
242 77 18
236 107 100
232 416 17
277 257 82
420 63 3
341 41 80
488 295 68
497 169 36
343 402 30
300 368 78
467 248 31
415 115 36
225 341 81
442 284 46
53 207 83
122 249 96
308 58 33
169 82 67
290 3 45
51 187 42
196 14 85
249 295 13
372 323 68
42 66 30
135 189 79
163 176 83
348 288 5
213 22 60
242 443 56
463 461 44
425 169 35
47 90 7
477 130 92
330 477 24
430 261 59
48 204 13
134 470 89
439 342 59
388 17 94
256 361 81
111 492 59
266 392 44
109 459 65
179 259 28
273 357 37
256 18 82
197 473 10
356 357 67
68 164 44
476 394 22
394 251 50
301 445 43
159 220 32
84 466 6
368 5 64
241 496 42
33 452 2
108 203 60
189 369 75
43 438 37
376 122 57
352 143 54
16 54 85
447 327 83
481 168 41
171 31 68
239 221 47
399 159 77
44 52 96
78 474 86
336 30 52
328 309 46
445 105 18
153 469 56
492 91 4
378 253 71
265 131 9
266 320 18
500 453 78
198 239 93
230 3 96
302 201 47
495 359 69
400 288 41
438 362 83
111 467 38
254 439 96
467 241 56
113 27 44
55 123 64
329 62 3
367 372 37
142 143 10
189 3 48
103 18 29
476 81 85
47 21 15
102 325 35
400 167 10
146 212 4
450 124 2
213 290 85
298 2 53
158 139 37
481 240 20
106 308 87
421 210 66
6 328 100
411 339 6
444 265 21
380 53 29
270 30 26
42 118 21
300 331 15
106 447 96
263 179 5
229 88 74
55 70 97
480 441 93
198 30 24
417 227 4
329 327 58
280 333 98
421 494 64
479 71 32
65 373 57
69 191 63
310 169 7
256 329 63
13 210 93
375 378 85
31 256 3
294 384 99
313 265 72
153 115 81
218 117 43
450 62 62
68 261 93
296 404 49
454 226 8
369 353 63
192 5 67
215 36 78
106 51 58
271 214 15
425 355 62
189 331 81
30 108 38
387 75 13
300 402 36
243 382 33
450 160 55
13 428 45
93 146 86
85 304 80
131 185 14
239 6 60
33 45 81
106 212 95
423 194 21
80 152 3
432 407 69
288 494 41
202 394 86
323 428 23
323 295 3
298 444 67
205 284 96
389 477 44
358 194 66
32 310 72
198 290 15
346 275 45
78 450 54
389 392 26
252 326 28
43 159 31
483 191 75
247 465 26
49 159 23
104 350 55
3 276 6
246 264 75
460 52 28
74 355 41
228 343 89
