500 5000
447 40 75
5 453 15
223 24 61
162 476 28
130 83 7
153 82 95
481 61 60
98 426 82
341 78 40
482 290 35
135 314 74
267 389 37
202 460 23
404 27 47
245 296 48
404 362 99
291 429 64
162 183 93
29 141 65
366 489 70
457 268 98
91 455 32
392 167 17
435 385 42
102 164 70
319 495 62
483 225 59
98 203 17
299 329 56
230 366 59
102 288 78
152 216 31
207 455 4
95 120 7
392 112 22
157 137 38
168 171 57
371 317 75
426 43 52
414 461 97
215 249 68
380 47 53
360 182 46
468 495 27
373 354 4
32 261 80
490 428 55
255 164 28
267 261 47
86 9 58
262 417 60
421 80 53
57 409 61
225 56 95
40 471 93
494 419 95
471 218 6
199 309 13
204 269 34
201 16 22
360 257 46
431 260 10
420 54 89
74 494 1
78 124 99
387 52 86
375 289 97
427 215 45
250 476 46
451 155 13
442 326 10
291 249 65
403 97 63
210 157 1
321 337 49
464 423 78
218 192 75
169 461 94
93 248 20
384 346 76
403 442 41
250 199 80
410 142 63
448 28 70
366 220 24
333 53 87
172 137 61
12 84 10
46 13 84
175 188 42
201 400 6
292 85 10
270 475 53
462 62 90
418 230 37
181 172 83
103 420 3
142 127 61
341 410 8
435 31 55
148 298 30
274 293 55
340 373 91
118 246 67
65 342 46
393 410 2
167 290 94
399 290 11
54 489 94
199 319 43
433 316 82
179 210 19
460 475 35
420 147 37
230 485 73
40 277 77
367 189 46
4 126 54
336 183 40
285 469 97
71 207 57
97 152 94
363 58 34
335 481 7
136 127 31
134 258 75
424 271 1
232 291 27
75 473 27
269 465 60
77 321 58
238 35 55
168 362 75
370 271 17
478 108 81
425 471 69
239 46 57
314 487 26
127 27 34
395 309 58
369 274 38
285 91 10
19 8 12
322 326 64
411 452 9
216 259 90
434 143 31
339 303 10
462 173 44
113 416 82
413 487 77
27 500 61
318 288 90
390 497 85
269 55 28
450 232 94
19 355 14
333 176 43
92 394 17
48 23 15
70 175 95
439 16 49
459 439 6
404 81 58
178 232 92
131 17 49
279 431 13
472 100 43
361 39 88
244 462 6
432 249 39
373 193 38
467 77 71
170 445 59
266 203 91
248 152 85
32 198 62
315 468 87
500 389 29
103 387 39
101 462 87
107 459 89
113 297 10
178 238 6
48 101 9
85 496 35
457 209 66
400 257 100
169 89 8
46 438 38
484 417 14
394 435 97
180 316 11
143 364 18
248 314 55
75 61 87
351 401 48
199 69 91
211 312 57
300 230 21
459 144 26
289 318 27
243 220 46
408 221 63
318 70 1
265 359 87
109 105 48
216 255 63
21 131 40
411 346 91
327 414 52
